"Time","Porte entrée"
2020-01-11 23:32:09,0
2020-01-11 23:33:11,0
2020-01-11 23:33:15,0
2020-01-12 10:29:52,1
2020-01-12 10:30:16,0
2020-01-12 15:57:05,0
2020-01-12 16:42:27,0
2020-01-12 16:42:52,0
2020-01-13 07:12:59,0
2020-01-13 08:19:35,0
2020-01-13 08:30:32,0
2020-01-13 13:20:25,0
2020-01-13 13:31:54,0
2020-01-13 15:46:16,0
2020-01-14 07:19:16,0
2020-01-14 08:17:40,0
2020-01-14 08:17:43,0
2020-01-14 13:17:29,0
2020-01-14 13:25:52,0
2020-01-14 16:22:41,0
2020-01-15 07:15:18,1
2020-01-15 07:15:23,0
2020-01-15 09:53:56,0
2020-01-15 13:02:13,0
2020-01-15 16:08:00,0
2020-01-15 18:00:28,0
2020-01-16 07:18:27,0
2020-01-16 08:21:51,0
2020-01-16 08:31:23,0
2020-01-16 13:20:40,0
2020-01-16 13:24:17,0
2020-01-16 13:31:57,0
2020-01-17 07:14:53,0
2020-01-17 08:21:03,0
2020-01-17 08:28:59,0
2020-01-17 13:16:37,0
2020-01-17 13:16:50,0
2020-01-17 13:17:37,0
2020-01-18 09:19:18,0
2020-01-18 10:37:45,0
2020-01-18 10:39:03,0
2020-01-18 13:19:31,0
2020-01-18 13:24:40,0
2020-01-18 15:27:45,0
2020-01-19 10:33:30,1
2020-01-19 10:35:15,0
2020-01-19 15:50:03,1
2020-01-19 15:50:31,0
2020-01-20 08:05:56,0
2020-01-20 08:06:38,0
2020-01-20 08:21:13,0
2020-01-21 14:03:23,0
2020-01-21 15:30:08,0
2020-01-21 16:22:40,0
2020-01-22 06:40:22,1
2020-01-22 06:40:28,0
2020-01-22 10:01:04,0
2020-01-22 18:08:44,1
2020-01-22 20:08:40,0
2020-01-23 07:13:14,0
2020-01-23 08:20:48,0
2020-01-23 08:33:25,0
2020-01-23 16:23:48,0
2020-01-23 16:36:38,0
2020-01-23 17:52:27,0
2020-01-24 08:22:31,1
2020-01-24 08:33:43,0
2020-01-24 16:24:46,0
2020-01-24 17:34:51,0
2020-01-24 18:22:01,0
2020-01-25 10:20:24,1
2020-01-25 10:20:30,0
2020-01-25 11:31:35,0
2020-01-25 14:56:59,1
2020-01-25 17:50:05,0
2020-01-25 21:19:31,1
2020-01-26 09:40:51,0
2020-01-26 11:18:27,0
2020-01-26 11:19:19,0
2020-01-26 16:41:34,1
2020-01-26 16:41:49,0
2020-01-27 07:14:10,1
2020-01-27 07:14:16,0
2020-01-27 08:23:28,0
2020-01-27 13:20:54,1
2020-01-27 13:21:18,0
2020-01-28 07:07:57,1
2020-01-28 07:52:04,0
2020-01-28 11:18:35,0
2020-01-29 18:13:45,0
2020-01-29 18:15:30,0
2020-01-29 18:18:10,0
2020-01-30 08:20:08,1
2020-01-30 08:21:21,0
2020-01-30 14:58:00,0
2020-01-30 15:06:44,0
2020-01-30 21:51:54,0
2020-01-31 18:12:40,0
2020-01-31 19:15:54,0
2020-01-31 19:36:37,0
2020-02-01 11:34:15,1
2020-02-01 15:23:01,0
2020-02-01 15:24:39,1
2020-02-01 15:24:43,0
2020-02-03 10:19:22,1
2020-02-03 11:04:19,0
2020-02-03 11:26:36,0
2020-02-04 11:35:38,1
2020-02-04 11:35:50,0
2020-02-04 11:40:57,0
2020-02-04 13:18:34,0
2020-02-04 13:18:40,0
2020-02-04 13:27:55,0
2020-02-05 07:08:41,1
2020-02-05 07:08:54,0
2020-02-05 09:49:30,0
2020-02-05 18:10:09,0
2020-02-05 18:12:51,0
2020-02-05 18:13:28,0
2020-02-06 08:22:49,0
2020-02-06 11:17:42,0
2020-02-06 11:36:20,0
2020-02-06 16:08:31,0
2020-02-06 16:41:33,0
2020-02-06 17:53:48,0
2020-02-07 07:13:06,0
2020-02-07 07:13:49,0
2020-02-07 08:18:17,0
2020-02-07 13:17:47,0
2020-02-07 13:26:42,0
2020-02-07 13:29:40,0
2020-02-08 08:58:02,0
2020-02-08 09:13:18,0
2020-02-08 09:13:41,0
2020-02-08 16:27:56,0
2020-02-08 16:34:52,0
2020-02-08 16:40:36,0
2020-02-09 09:15:31,0
2020-02-09 09:16:13,0
2020-02-09 09:17:54,0
2020-02-09 13:12:01,0
2020-02-09 14:46:38,0
2020-02-09 14:53:23,0
2020-02-10 19:20:30,0
2020-02-10 19:23:12,0
2020-02-10 20:20:30,0
2020-02-11 07:16:57,0
2020-02-11 08:16:57,0
2020-02-11 08:19:28,0
2020-02-11 13:16:18,0
2020-02-11 13:17:02,0
2020-02-11 13:24:44,0
2020-02-12 06:46:46,0
2020-02-12 07:46:46,0
2020-02-12 09:50:07,0
2020-02-12 18:10:10,0
2020-02-12 18:18:56,0
2020-02-12 19:10:10,0
2020-02-13 08:19:53,0
2020-02-13 08:19:56,0
2020-02-13 08:20:52,0
2020-02-13 13:21:44,0
2020-02-13 13:30:48,0
2020-02-13 14:21:44,0
2020-02-14 07:22:07,0
2020-02-14 08:18:05,0
2020-02-14 08:22:07,0
2020-02-14 13:09:53,0
2020-02-14 13:19:36,0
2020-02-14 13:29:39,0
2020-02-15 08:50:01,0
2020-02-15 08:50:17,0
2020-02-15 08:52:23,0
2020-02-15 13:28:47,0
2020-02-15 14:17:38,0
2020-02-15 14:28:47,0
2020-02-16 09:42:09,0
2020-02-16 09:43:28,0
2020-02-16 09:44:29,0
2020-02-16 17:20:14,0
2020-02-16 17:21:15,0
2020-02-16 17:31:05,0
2020-02-17 07:25:58,0
2020-02-17 07:25:58,0
2020-02-17 07:27:49,0
2020-02-17 13:18:13,0
2020-02-17 13:18:13,0
2020-02-17 13:26:34,0
2020-02-18 07:21:35,0
2020-02-18 07:21:35,0
2020-02-18 07:24:25,0
2020-02-18 13:20:26,0
2020-02-18 13:20:26,0
2020-02-18 13:27:40,0
2020-02-19 07:03:17,0
2020-02-19 07:03:17,0
2020-02-19 09:53:36,0
2020-02-19 17:51:57,0
2020-02-19 17:51:57,0
2020-02-19 17:54:00,0
2020-02-20 07:19:13,0
2020-02-20 07:19:14,0
2020-02-20 10:57:40,0
2020-02-20 13:18:18,0
2020-02-20 13:18:18,0
2020-02-20 13:18:55,0
2020-02-21 07:17:09,0
2020-02-21 07:17:09,0
2020-02-21 07:18:03,0
2020-02-21 13:27:18,0
2020-02-21 13:27:18,0
2020-02-21 13:32:17,0
2020-02-22 09:01:41,0
2020-02-22 09:01:41,0
2020-02-22 09:01:57,0
2020-02-22 16:56:49,0
2020-02-22 16:56:49,0
2020-02-22 16:56:55,0
2020-02-23 09:53:00,0
2020-02-23 09:53:00,0
2020-02-23 09:54:42,0
2020-02-23 13:21:42,0
2020-02-23 13:21:42,0
2020-02-23 14:26:32,0
2020-02-24 07:17:12,0
2020-02-24 07:17:12,0
2020-02-24 10:02:32,0
2020-02-24 14:10:42,0
2020-02-24 14:10:42,0
2020-02-24 14:18:29,0
2020-02-25 07:17:03,0
2020-02-25 07:17:03,0
2020-02-25 09:00:21,0
2020-02-25 16:28:52,0
2020-02-25 16:28:52,0
2020-02-25 16:30:22,0
2020-02-26 03:27:12,0
2020-02-26 03:27:12,0
2020-02-26 07:21:28,0
2020-02-26 15:22:56,0
2020-02-26 15:22:56,0
2020-02-26 15:44:39,0
2020-02-27 07:18:54,0
2020-02-27 07:18:54,0
2020-02-27 08:18:54,0
2020-02-27 15:54:22,0
2020-02-27 15:54:22,0
2020-02-27 16:54:22,0
2020-02-28 07:16:31,0
2020-02-28 07:18:09,0
2020-02-28 07:18:56,0
2020-02-28 13:24:50,0
2020-02-28 14:01:28,0
2020-02-28 14:24:50,0
2020-03-01 09:06:17,0
2020-03-01 09:06:19,0
2020-03-01 09:10:10,0
2020-03-03 13:54:47,0
2020-03-03 13:54:47,0
2020-03-03 14:00:41,0
2020-03-05 16:30:48,0
2020-03-05 16:30:48,0
2020-03-05 16:33:10,0
2020-03-07 13:58:11,0
2020-03-07 13:58:11,0
2020-03-07 13:58:14,0
2020-03-08 09:37:51,0
2020-03-08 09:37:51,0
2020-03-08 09:53:57,0
2020-03-08 13:33:15,0
2020-03-08 13:33:15,0
2020-03-08 13:49:41,0
2020-03-09 07:13:15,0
2020-03-09 07:13:15,0
2020-03-09 08:19:25,0
2020-03-09 13:20:38,0
2020-03-09 13:20:39,0
2020-03-09 13:27:57,0
2020-03-10 07:20:52,0
2020-03-10 07:20:52,0
2020-03-10 08:18:50,0
2020-03-10 13:18:33,0
2020-03-10 13:18:33,0
2020-03-10 13:26:02,0
2020-03-11 07:14:48,0
2020-03-11 07:14:48,0
2020-03-11 08:45:40,0
2020-03-11 17:51:23,0
2020-03-11 17:51:23,0
2020-03-11 17:52:45,0
2020-03-12 07:21:55,0
2020-03-12 07:21:55,0
2020-03-12 07:23:17,0
2020-03-12 13:18:47,0
2020-03-12 13:18:47,0
2020-03-12 13:28:44,0
2020-03-13 08:14:17,0
2020-03-13 08:14:17,0
2020-03-13 08:20:37,0
2020-03-13 13:11:31,0
2020-03-13 13:11:32,0
2020-03-13 15:17:56,0
2020-03-14 08:17:38,0
2020-03-14 08:17:39,0
2020-03-14 09:58:05,0
2020-03-14 13:45:56,0
2020-03-14 13:45:57,0
2020-03-14 15:11:10,0
2020-03-15 09:47:33,0
2020-03-15 09:47:33,0
2020-03-15 09:51:03,0
2020-03-15 16:50:29,0
2020-03-15 16:50:29,0
2020-03-15 17:00:52,0
2020-03-16 07:47:58,0
2020-03-16 07:47:59,0
2020-03-16 07:48:13,0
2020-03-16 13:37:46,0
2020-03-16 13:37:46,0
2020-03-16 13:43:25,0
2020-03-17 09:01:20,0
2020-03-17 09:01:20,0
2020-03-17 09:06:03,0
2020-03-17 13:46:04,0
2020-03-17 13:46:04,0
2020-03-17 14:35:10,0
2020-03-18 08:55:53,0
2020-03-18 08:55:53,0
2020-03-18 09:18:47,0
2020-03-18 13:07:06,0
2020-03-18 13:07:07,0
2020-03-18 13:09:23,0
2020-03-19 09:05:27,0
2020-03-19 09:05:27,0
2020-03-19 09:44:08,0
2020-03-19 13:52:50,0
2020-03-19 13:52:50,0
2020-03-19 13:56:00,0
2020-03-20 08:19:17,0
2020-03-20 08:19:18,0
2020-03-20 08:21:52,0
2020-03-20 13:45:57,0
2020-03-20 13:45:57,0
2020-03-20 13:48:20,0
2020-03-21 07:54:42,0
2020-03-21 07:54:42,0
2020-03-21 07:57:33,0
2020-03-21 16:49:37,0
2020-03-21 16:49:37,0
2020-03-21 17:43:10,0
2020-03-22 04:09:12,0
2020-03-22 04:09:12,0
2020-03-22 08:32:33,0
2020-03-22 13:08:17,0
2020-03-22 13:08:17,0
2020-03-22 13:09:51,0
2020-03-23 07:57:34,0
2020-03-23 07:57:34,0
2020-03-23 07:58:04,0
2020-03-23 15:01:45,0
2020-03-23 15:01:45,0
2020-03-23 15:04:29,0
2020-03-24 10:22:47,0
2020-03-24 10:22:47,0
2020-03-24 11:39:51,0
2020-03-24 13:00:24,0
2020-03-24 13:00:24,0
2020-03-24 13:02:08,0
2020-03-25 10:04:19,0
2020-03-25 10:04:19,0
2020-03-25 10:04:22,0
2020-03-25 13:17:12,0
2020-03-25 13:17:12,0
2020-03-25 16:59:05,0
2020-03-26 09:25:49,0
2020-03-26 09:25:49,0
2020-03-26 09:39:08,0
2020-03-26 14:29:56,0
2020-03-26 14:29:56,0
2020-03-26 14:54:33,0
2020-03-27 07:46:04,0
2020-03-27 07:46:05,0
2020-03-27 08:51:20,0
2020-03-27 13:28:03,0
2020-03-27 13:28:03,0
2020-03-27 13:32:51,0
2020-03-28 10:01:31,0
2020-03-28 10:01:31,0
2020-03-28 10:43:37,0
2020-03-28 14:30:30,0
2020-03-28 14:30:30,0
2020-03-28 14:30:48,0
2020-03-29 09:17:35,0
2020-03-29 09:17:35,0
2020-03-29 09:18:19,0
2020-03-29 14:02:39,0
2020-03-29 14:02:39,0
2020-03-29 14:03:14,0
2020-03-30 09:33:04,0
2020-03-30 09:33:04,0
2020-03-30 09:33:27,0
2020-03-30 15:00:20,0
2020-03-30 15:00:20,0
2020-03-30 15:55:13,0
2020-03-31 09:06:58,0
2020-03-31 09:06:58,0
2020-03-31 09:09:01,0
2020-03-31 14:07:15,0
2020-03-31 14:07:15,0
2020-03-31 14:51:43,0
2020-04-01 10:07:37,0
2020-04-01 10:07:37,0
2020-04-01 10:21:33,0
2020-04-01 14:30:19,0
2020-04-01 14:30:50,0
2020-04-01 14:31:05,0
2020-04-02 09:01:39,0
2020-04-02 09:01:39,0
2020-04-02 11:40:33,0
2020-04-02 14:54:22,0
2020-04-02 14:54:22,0
2020-04-02 16:01:30,0
2020-04-03 09:31:10,0
2020-04-03 09:31:10,0
2020-04-03 09:38:43,0
2020-04-03 14:55:01,0
2020-04-03 14:55:01,0
2020-04-03 14:55:14,0
2020-04-04 10:16:49,0
2020-04-04 10:16:49,0
2020-04-04 10:28:42,0
2020-04-04 14:36:45,0
2020-04-04 14:36:45,0
2020-04-04 15:16:11,0
2020-04-05 10:48:53,0
2020-04-05 10:48:54,0
2020-04-05 11:06:26,0
2020-04-05 14:55:10,0
2020-04-05 14:55:11,0
2020-04-05 14:55:12,0
2020-04-06 09:05:52,0
2020-04-06 09:05:52,0
2020-04-06 11:12:48,0
2020-04-06 14:41:33,0
2020-04-06 14:41:33,0
2020-04-06 14:59:30,0
2020-04-07 11:42:18,0
2020-04-07 11:42:18,0
2020-04-07 11:50:58,0
2020-04-07 14:02:13,0
2020-04-07 14:02:14,0
2020-04-07 14:05:42,0
2020-04-08 09:49:48,0
2020-04-08 09:49:48,0
2020-04-08 09:52:37,0
2020-04-08 14:29:35,0
2020-04-08 14:29:35,0
2020-04-08 15:03:12,0
2020-04-09 10:10:03,0
2020-04-09 10:10:03,0
2020-04-09 10:11:23,0
2020-04-09 15:23:37,0
2020-04-09 15:23:37,0
2020-04-09 15:37:13,0
2020-04-10 10:08:12,0
2020-04-10 10:08:12,0
2020-04-10 10:18:39,0
2020-04-10 14:35:42,0
2020-04-10 14:35:42,0
2020-04-10 14:37:25,0
2020-04-11 10:51:29,1
2020-04-11 10:53:09,1
2020-04-11 11:04:57,1
2020-04-11 17:49:02,0
2020-04-11 17:49:02,0
2020-04-11 18:27:11,0
2020-04-12 09:04:39,0
2020-04-12 09:04:39,0
2020-04-12 09:11:19,0
2020-04-12 14:08:26,0
2020-04-12 14:08:28,0
2020-04-12 14:08:28,0
2020-04-13 07:51:43,0
2020-04-13 07:51:43,0
2020-04-13 07:52:30,0
2020-04-13 17:37:49,0
2020-04-13 17:37:49,0
2020-04-13 17:40:46,0
2020-04-14 08:45:02,0
2020-04-14 08:45:02,0
2020-04-14 08:48:46,0
2020-04-14 14:53:42,0
2020-04-14 14:53:42,0
2020-04-14 14:53:58,0
2020-04-15 09:39:20,0
2020-04-15 09:39:20,0
2020-04-15 09:49:58,0
2020-04-15 14:13:45,0
2020-04-15 14:13:45,0
2020-04-15 16:07:13,0
2020-04-16 08:12:19,0
2020-04-16 08:12:19,0
2020-04-16 08:13:22,0
2020-04-16 14:42:35,0
2020-04-16 14:42:35,0
2020-04-16 14:42:40,0
2020-04-17 09:15:58,0
2020-04-17 09:15:59,0
2020-04-17 09:28:28,0
2020-04-17 15:30:08,0
2020-04-17 15:30:08,0
2020-04-17 15:34:53,0
2020-04-18 08:01:20,0
2020-04-18 08:01:20,0
2020-04-18 08:23:41,0
2020-04-18 15:13:52,0
2020-04-18 15:13:52,0
2020-04-18 15:19:27,0
2020-04-19 09:06:20,0
2020-04-19 09:06:20,0
2020-04-19 09:09:40,0
2020-04-19 14:12:20,0
2020-04-19 14:12:20,0
2020-04-19 14:14:24,0
2020-04-20 08:51:37,0
2020-04-20 08:51:37,0
2020-04-20 09:07:51,0
2020-04-20 15:44:38,0
2020-04-20 15:44:39,0
2020-04-20 16:03:27,0
2020-04-21 07:57:13,0
2020-04-21 07:57:13,0
2020-04-21 08:49:21,0
2020-04-21 16:15:08,0
2020-04-21 16:37:06,0
2020-04-21 16:37:07,0
2020-04-22 08:15:05,0
2020-04-22 08:15:05,0
2020-04-22 08:21:44,0
2020-04-22 14:19:39,0
2020-04-22 14:19:40,0
2020-04-22 14:19:42,0
2020-04-23 08:17:56,0
2020-04-23 08:17:56,0
2020-04-23 08:18:46,0
2020-04-23 14:23:51,0
2020-04-23 14:23:51,0
2020-04-23 14:45:24,0
2020-04-24 10:06:27,0
2020-04-24 10:06:27,0
2020-04-24 10:58:38,0
2020-04-24 14:46:40,0
2020-04-24 14:46:41,0
2020-04-24 16:04:38,0
2020-04-25 07:24:48,0
2020-04-25 07:24:48,0
2020-04-25 07:58:55,0
2020-04-25 15:52:00,0
2020-04-25 15:52:00,0
2020-04-25 15:52:08,0
2020-04-26 08:33:38,0
2020-04-26 08:33:39,0
2020-04-26 08:36:20,0
2020-04-26 14:42:41,0
2020-04-26 14:42:41,0
2020-04-26 14:47:56,0
2020-04-27 08:37:03,0
2020-04-27 08:37:03,0
2020-04-27 08:39:16,0
2020-04-27 15:21:26,0
2020-04-27 15:21:26,0
2020-04-27 15:43:22,0
2020-04-28 08:47:23,0
2020-04-28 08:47:24,0
2020-04-28 08:49:38,0
2020-04-28 17:05:58,0
2020-04-28 17:05:58,0
2020-04-28 17:43:38,0
2020-04-29 09:41:14,0
2020-04-29 09:41:14,0
2020-04-29 10:13:42,0
2020-04-29 14:30:17,0
2020-04-29 14:30:17,0
2020-04-29 14:33:12,0
2020-04-30 11:03:22,0
2020-04-30 11:03:22,0
2020-04-30 11:13:07,0
2020-04-30 16:45:56,0
2020-04-30 16:46:44,0
2020-04-30 16:46:44,0
2020-05-01 08:38:57,0
2020-05-01 08:38:57,0
2020-05-01 09:23:46,0
2020-05-01 17:00:54,0
2020-05-01 17:00:54,0
2020-05-01 17:15:08,0
2020-05-02 08:07:46,0
2020-05-02 08:07:46,0
2020-05-02 08:15:11,0
2020-05-02 14:51:37,0
2020-05-02 14:51:37,0
2020-05-02 14:55:19,0
2020-05-03 10:43:48,0
2020-05-03 10:43:48,0
2020-05-03 11:19:35,0
2020-05-03 14:09:01,0
2020-05-03 14:09:01,0
2020-05-03 14:09:52,0
2020-05-04 07:43:22,0
2020-05-04 07:43:23,0
2020-05-04 08:57:25,0
2020-05-04 14:10:20,0
2020-05-04 14:33:59,0
2020-05-04 14:33:59,0
2020-05-05 08:26:48,0
2020-05-05 08:26:48,0
2020-05-05 08:54:20,0
2020-05-05 16:04:38,0
2020-05-05 16:04:39,0
2020-05-05 17:49:54,0
2020-05-06 07:09:10,0
2020-05-06 07:09:11,0
2020-05-06 07:10:34,0
2020-05-06 14:28:34,0
2020-05-06 14:28:35,0
2020-05-06 14:34:17,0
2020-05-07 07:40:01,0
2020-05-07 07:40:01,0
2020-05-07 08:00:21,0
2020-05-07 14:14:28,0
2020-05-07 14:14:28,0
2020-05-07 14:35:03,0
2020-05-08 08:21:28,0
2020-05-08 08:21:28,0
2020-05-08 08:26:28,0
2020-05-08 14:36:11,0
2020-05-08 14:36:11,0
2020-05-08 15:08:42,0
2020-05-09 07:50:11,0
2020-05-09 07:50:11,0
2020-05-09 07:53:05,0
2020-05-09 14:21:18,0
2020-05-09 14:21:21,0
2020-05-09 14:21:22,0
2020-05-10 07:58:50,0
2020-05-10 07:58:50,0
2020-05-10 08:00:35,0
2020-05-10 15:46:56,0
2020-05-10 15:46:56,0
2020-05-10 17:23:25,0
2020-05-11 08:58:51,0
2020-05-11 09:12:44,0
2020-05-11 09:12:44,0
2020-05-11 14:27:49,0
2020-05-11 14:27:49,0
2020-05-11 15:34:48,0
2020-05-12 07:15:37,0
2020-05-12 07:15:37,0
2020-05-12 08:02:16,0
2020-05-12 14:29:41,0
2020-05-12 14:29:41,0
2020-05-12 14:32:35,0
2020-05-13 07:56:14,0
2020-05-13 07:56:14,0
2020-05-13 07:59:29,0
2020-05-13 14:49:17,0
2020-05-13 14:49:17,0
2020-05-13 19:08:38,0
2020-05-14 09:30:40,0
2020-05-14 09:30:40,0
2020-05-14 09:32:32,0
2020-05-14 15:04:52,0
2020-05-14 15:04:52,0
2020-05-14 15:05:52,0
2020-05-15 09:23:38,0
